codigo,modalidade,grau,curso,uf,municipio,enade,cpc,cc,code_ies,nome_da_ies,mantenedora
1313173,Presencial,Licenciatura,Química,SP,Suzano,4,3,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1458673,Presencial,Bacharelado,Química,SP,Suzano,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1516247,Presencial,Bacharelado,Química industrial,SP,Suzano,-,-,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1616829,Presencial,Bacharelado,Sistemas de informação,SP,São Paulo,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1562716,Presencial,Bacharelado,Sistemas de informação,SP,Votuporanga,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
100780,Presencial,Tecnológico,Sistemas elétricos,SP,São Paulo,-,-,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
68040,Presencial,Tecnológico,Sistemas eletrônicos,SP,São Paulo,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1616798,Presencial,Tecnológico,Sistemas para internet,SP,Araraquara,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1188328,Presencial,Tecnológico,Sistemas para internet,SP,Birigui,-,-,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1116895,Presencial,Tecnológico,Sistemas para internet,SP,São João da Boa Vista,-,-,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1405320,Presencial,Bacharelado,Turismo,SP,Cubatão,-,-,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
